ID,start,end,duration,pos_x,pos_y,player,team,action,half
1,-2,10,12,30.48,12.96,,Florida Alliance 19U AAA,OZ play,1
2,23,35,12,2,15,,Florida Alliance 19U AAA,OZ play,1
3,46,58,12,47.21,11.2,,Florida Alliance 19U AAA,OZ play,1
4,46,58,12,47.21,11.2,,Florida Alliance 19U AAA,Shots,1
5,54,66,12,49.97,9.85,,Florida Alliance 19U AAA,OZ play,1
6,54,66,12,49.97,9.85,,Florida Alliance 19U AAA,Shots,1
7,55,67,12,53.35,12.43,,Florida Alliance 19U AAA,OZ play,1
8,55,67,12,53.35,12.43,,Florida Alliance 19U AAA,Shots,1
9,82,94,12,2,15,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
10,90,102,12,48.58,7.21,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
11,90,102,12,48.58,7.21,,Pittsburgh Penguins Elite 19U Girls,Shots,1
12,178,190,12,43.73,1.52,,Florida Alliance 19U AAA,OZ play,1
13,178,190,12,51.51,6.25,,Florida Alliance 19U AAA,OZ play,1
14,182,194,12,43.73,1.52,,Florida Alliance 19U AAA,OZ play,1
15,182,194,12,43.73,1.52,,Florida Alliance 19U AAA,Shots,1
16,217,229,12,44.37,19.65,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
17,217,229,12,44.37,19.65,,Pittsburgh Penguins Elite 19U Girls,Shots,1
18,251,263,12,40.15,8.54,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
19,251,263,12,40.15,8.54,,Pittsburgh Penguins Elite 19U Girls,Shots,1
20,272,284,12,50.6,14.62,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
21,272,284,12,50.6,14.62,,Pittsburgh Penguins Elite 19U Girls,Shots,1
22,363,375,12,48.22,13.76,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
23,363,375,12,48.22,13.76,,Pittsburgh Penguins Elite 19U Girls,Shots,1
24,404,416,12,46.75,22.02,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
25,404,416,12,46.75,22.02,,Pittsburgh Penguins Elite 19U Girls,Shots,1
26,408,420,12,51.51,19.67,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
27,409,421,12,46.11,19.84,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
28,409,421,12,46.11,19.84,,Pittsburgh Penguins Elite 19U Girls,Shots,1
29,440,452,12,50.05,4.65,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
30,440,452,12,50.05,4.65,,Pittsburgh Penguins Elite 19U Girls,Shots,1
31,445,457,12,51.51,6.25,,Florida Alliance 19U AAA,OZ play,1
32,461,473,12,52.71,7.21,,Florida Alliance 19U AAA,OZ play,1
33,461,473,12,52.71,7.21,,Florida Alliance 19U AAA,Shots,1
34,478,490,12,40.24,18.13,,Florida Alliance 19U AAA,OZ play,1
35,478,490,12,40.24,18.13,,Florida Alliance 19U AAA,Shots,1
36,506,518,12,49.23,18.22,,Florida Alliance 19U AAA,OZ play,1
37,506,518,12,49.23,18.22,,Florida Alliance 19U AAA,Shots,1
38,516,528,12,39.33,23.06,,Florida Alliance 19U AAA,OZ play,1
39,516,528,12,39.33,23.06,,Florida Alliance 19U AAA,Shots,1
40,564,576,12,46.38,15.47,,Florida Alliance 19U AAA,OZ play,1
41,564,576,12,46.38,15.47,,Florida Alliance 19U AAA,Shots,1
42,573,585,12,53.72,14.81,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
43,573,585,12,53.72,14.81,,Pittsburgh Penguins Elite 19U Girls,Shots,1
44,655,667,12,54.82,16.04,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
45,655,667,12,54.82,16.04,,Pittsburgh Penguins Elite 19U Girls,Shots,1
46,678,690,12,24.38,19.67,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
47,767,779,12,52.25,12.72,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
48,767,779,12,52.25,12.72,,Pittsburgh Penguins Elite 19U Girls,Shots,1
49,789,801,12,36.58,6.25,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
50,824,836,12,42.99,18.41,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
51,824,836,12,42.99,18.41,,Pittsburgh Penguins Elite 19U Girls,Shots,1
52,833,845,12,48.68,18.03,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
53,833,845,12,48.68,18.03,,Pittsburgh Penguins Elite 19U Girls,Shots,1
54,853,865,12,51.51,19.67,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
55,912,924,12,55.46,15,,Pittsburgh Penguins Elite 19U Girls,OZ play,1
56,912,924,12,55.46,15,,Pittsburgh Penguins Elite 19U Girls,Shots,1
57,934,946,12,30.48,12.96,,Florida Alliance 19U AAA,OZ play,2
58,1041,1053,12,43.54,22.21,,Florida Alliance 19U AAA,OZ play,2
