t	shot_max_conf	shot_n	goal_max_conf
0	0.0000	0	0.1009
1	0.0000	0	0.0000
2	0.0000	0	0.0000
3	0.0000	0	0.0000
4	0.0000	0	0.0000
5	0.0000	0	0.0000
6	0.0000	0	0.0000
7	0.0000	0	0.0000
8	0.0000	0	0.0000
9	0.0000	0	0.0000
10	0.0000	0	0.0000
11	0.0000	0	0.0000
12	0.0000	0	0.0000
13	0.0000	0	0.0000
14	0.0000	0	0.0000
15	0.0000	0	0.0000
16	0.0000	0	0.0000
17	0.0000	0	0.0000
18	0.0000	0	0.0000
19	0.0000	0	0.0000
20	0.0000	0	0.0000
21	0.0000	0	0.0000
22	0.0000	0	0.0000
23	0.0000	0	0.0792
24	0.3629	1	0.4491
25	0.5031	1	0.8646
26	0.2335	1	0.8405
27	0.1821	1	0.2733
28	0.4936	1	0.6987
29	0.5643	1	0.8403
30	0.1609	1	0.8649
31	0.1335	1	0.8910
32	0.1729	1	0.8156
33	0.1971	2	0.8477
34	0.1378	1	0.8373
35	0.0968	3	0.8279
36	0.0000	0	0.8397
37	0.0000	0	0.0000
38	0.0000	0	0.0000
39	0.0000	0	0.0825
40	0.0000	0	0.2249
41	0.1451	2	0.4235
42	0.3937	1	0.0000
43	0.0000	0	0.0000
44	0.0000	0	0.0535
45	0.0000	0	0.0000
46	0.0000	0	0.0000
47	0.0000	0	0.0000
48	0.0000	0	0.0658
49	0.1286	1	0.2652
50	0.3446	1	0.2846
51	0.5450	1	0.0000
52	0.4197	1	0.4971
53	0.0000	0	0.0000
54	0.0000	0	0.0000
55	0.0000	0	0.0000
56	0.0000	0	0.0000
57	0.0000	0	0.0000
58	0.0000	0	0.0000
59	0.0000	0	0.0000
60	0.0000	0	0.0000
61	0.0000	0	0.0000
62	0.0000	0	0.0000
63	0.0000	0	0.8259
64	0.0000	0	0.1933
65	0.0656	1	0.7471
66	0.0000	0	0.0000
67	0.0730	1	0.0000
68	0.0000	0	0.0555
69	0.0000	0	0.0000
70	0.0000	0	0.0000
71	0.8116	1	0.7941
72	0.8111	1	0.8443
73	0.0000	0	0.0000
74	0.0000	0	0.0000
75	0.0000	0	0.0000
76	0.0000	0	0.0000
77	0.0000	0	0.0000
78	0.0000	0	0.0000
79	0.0000	0	0.0683
80	0.0000	0	0.0000
81	0.0000	0	0.0000
82	0.0000	0	0.0000
83	0.0000	0	0.0000
84	0.0000	0	0.0571
85	0.0000	0	0.1494
86	0.0000	0	0.1075
87	0.0000	0	0.0000
88	0.0000	0	0.0000
89	0.0000	0	0.0000
90	0.0640	1	0.0958
91	0.0000	0	0.1201
92	0.0000	0	0.0000
93	0.0000	0	0.0000
94	0.0000	0	0.0000
95	0.0000	0	0.0000
96	0.0000	0	0.0000
97	0.0000	0	0.0000
98	0.0000	0	0.0000
99	0.0000	0	0.0000
100	0.0000	0	0.0000
101	0.0000	0	0.0000
102	0.0000	0	0.0000
103	0.0000	0	0.0000
104	0.4730	1	0.6411
105	0.2312	1	0.3541
106	0.1121	1	0.1942
107	0.0000	0	0.0000
108	0.0000	0	0.2512
109	0.0969	1	0.6055
110	0.0000	0	0.0000
111	0.0000	0	0.0000
112	0.0000	0	0.0000
113	0.0000	0	0.0000
114	0.0000	0	0.0631
115	0.0000	0	0.1434
116	0.4645	1	0.7879
117	0.2006	1	0.7033
118	0.2951	1	0.8464
119	0.6786	2	0.7897
120	0.6436	1	0.7736
121	0.4742	3	0.5214
122	0.5811	1	0.5038
123	0.1063	1	0.1161
124	0.6482	2	0.4883
125	0.3594	1	0.2762
126	0.6006	1	0.1597
127	0.7287	1	0.6029
128	0.6483	1	0.7325
129	0.4946	1	0.7561
130	0.1289	1	0.8790
131	0.2383	1	0.7403
132	0.1239	1	0.6421
133	0.2004	1	0.6444
134	0.0969	1	0.6558
135	0.0000	0	0.4270
136	0.0000	0	0.4321
137	0.0891	1	0.4861
138	0.0000	0	0.8017
139	0.0000	0	0.0000
140	0.0000	0	0.0000
141	0.0000	0	0.0000
142	0.0000	0	0.2707
143	0.0000	0	0.0000
144	0.0000	0	0.0000
145	0.0000	0	0.0000
146	0.0000	0	0.0971
147	0.0000	0	0.0000
148	0.0000	0	0.0000
149	0.0000	0	0.0000
150	0.0000	0	0.0000
151	0.0000	0	0.0000
152	0.0000	0	0.0519
153	0.0000	0	0.0000
154	0.0000	0	0.0000
155	0.0000	0	0.0000
156	0.0000	0	0.0000
157	0.0000	0	0.0000
158	0.0000	0	0.0000
159	0.0000	0	0.0000
160	0.0000	0	0.0000
161	0.0000	0	0.0000
162	0.0000	0	0.0000
163	0.0000	0	0.0000
164	0.0000	0	0.0000
165	0.0000	0	0.0000
166	0.0000	0	0.0000
167	0.0000	0	0.0000
168	0.0000	0	0.0595
169	0.0000	0	0.0587
170	0.0000	0	0.0000
171	0.0000	0	0.0000
172	0.0000	0	0.0000
173	0.0000	0	0.0000
174	0.0000	0	0.0000
175	0.0000	0	0.0000
176	0.0000	0	0.0000
177	0.0000	0	0.0000
178	0.0000	0	0.0000
179	0.0000	0	0.0000
180	0.0000	0	0.0000
181	0.1344	1	0.2638
182	0.0000	0	0.0000
183	0.0000	0	0.0000
184	0.0000	0	0.0000
185	0.0000	0	0.0000
186	0.1185	1	0.0000
187	0.0000	0	0.1460
188	0.0000	0	0.0000
189	0.0534	1	0.3819
190	0.1609	1	0.4890
191	0.0000	0	0.0000
192	0.0000	0	0.1247
193	0.0000	0	0.0841
194	0.1316	2	0.3775
195	0.7248	2	0.4982
196	0.8175	1	0.7957
197	0.4363	1	0.7103
198	0.6628	1	0.7210
199	0.4978	1	0.8349
200	0.3072	1	0.7991
201	0.2739	3	0.7648
202	0.5746	2	0.8234
203	0.4637	1	0.7786
204	0.3558	1	0.3012
205	0.6117	2	0.7465
206	0.4740	1	0.8081
207	0.3278	4	0.4915
208	0.4874	1	0.6534
209	0.6472	1	0.8230
210	0.5361	2	0.7922
211	0.5414	1	0.8347
