t	shot_max_conf	shot_n	goal_max_conf
0	0.0000	0	0.0000
1	0.0000	0	0.0617
2	0.0000	0	0.0000
3	0.0000	0	0.0000
4	0.0000	0	0.0648
5	0.0000	0	0.0000
6	0.0000	0	0.0000
7	0.0000	0	0.0575
8	0.0000	0	0.0000
9	0.0000	0	0.0000
10	0.5213	4	0.5100
11	0.6309	2	0.5711
12	0.5092	2	0.5518
13	0.5891	3	0.6216
14	0.6569	1	0.6193
15	0.5607	3	0.6925
16	0.0000	0	0.0698
17	0.0000	0	0.0000
18	0.3616	2	0.3145
19	0.7223	2	0.7468
20	0.7674	1	0.7654
21	0.7962	2	0.8106
22	0.7954	1	0.8331
23	0.6215	2	0.4866
24	0.7393	1	0.7428
25	0.8695	1	0.9079
26	0.8244	1	0.8169
27	0.8634	1	0.8994
28	0.8389	1	0.8881
29	0.7728	1	0.8219
30	0.1603	1	0.1457
31	0.0000	0	0.0000
32	0.0000	0	0.0000
33	0.0000	0	0.0000
34	0.0000	0	0.0000
35	0.7234	1	0.7319
36	0.7906	1	0.8604
37	0.7160	1	0.7934
38	0.7884	1	0.8517
39	0.4459	1	0.2599
40	0.3019	1	0.0559
41	0.0000	0	0.0000
42	0.4719	3	0.5870
43	0.7523	1	0.8013
44	0.5308	2	0.6360
45	0.5855	2	0.6548
46	0.6098	1	0.6783
47	0.4728	3	0.5978
48	0.4936	2	0.6111
49	0.6702	2	0.7241
50	0.6842	1	0.7055
51	0.6947	3	0.7501
52	0.5793	2	0.6966
53	0.5569	2	0.6186
54	0.5628	2	0.6493
55	0.5302	2	0.5507
56	0.4993	4	0.5238
57	0.4845	2	0.5318
58	0.6279	2	0.6930
59	0.5303	2	0.6506
60	0.5907	1	0.6611
61	0.5535	2	0.5502
62	0.5208	4	0.4711
63	0.6847	1	0.6108
64	0.7030	3	0.7910
65	0.6862	2	0.7221
66	0.6505	3	0.6673
67	0.7737	4	0.8169
68	0.7351	3	0.8111
69	0.7324	3	0.7976
70	0.7197	3	0.7570
71	0.7373	3	0.7761
72	0.7118	5	0.7184
73	0.6554	4	0.6856
74	0.6159	1	0.4422
75	0.1114	1	0.0000
76	0.0000	0	0.0000
77	0.4261	1	0.3836
78	0.6619	1	0.5746
79	0.5525	2	0.3314
80	0.7532	1	0.7946
81	0.5352	1	0.6743
82	0.6868	2	0.7358
83	0.5571	2	0.6583
84	0.4022	1	0.5247
85	0.5619	1	0.4037
86	0.7806	2	0.8626
87	0.0971	1	0.4733
88	0.4100	1	0.5422
89	0.2476	1	0.1995
90	0.3828	2	0.2584
91	0.0902	2	0.4243
92	0.6411	2	0.6488
