t	shot_max_conf	shot_n	goal_max_conf
0	0.0000	0	0.0000
1	0.0000	0	0.0000
2	0.0000	0	0.0000
3	0.0000	0	0.0000
4	0.0000	0	0.0000
5	0.0000	0	0.0000
6	0.0000	0	0.0000
7	0.0000	0	0.0000
8	0.0000	0	0.0000
9	0.0000	0	0.0000
10	0.0000	0	0.0000
11	0.0000	0	0.0000
12	0.0000	0	0.0000
13	0.0000	0	0.0000
14	0.0000	0	0.0000
15	0.0000	0	0.0000
16	0.0000	0	0.0000
17	0.0000	0	0.0000
18	0.0000	0	0.0000
19	0.0000	0	0.0000
20	0.0000	0	0.0000
21	0.0000	0	0.0000
22	0.0000	0	0.0000
23	0.0000	0	0.0000
24	0.0000	0	0.0000
25	0.4447	1	0.5825
26	0.6315	1	0.8125
27	0.6590	2	0.8098
28	0.6363	1	0.8705
29	0.7111	2	0.8213
30	0.2628	1	0.8858
31	0.0000	0	0.0000
32	0.5011	1	0.8907
33	0.5728	1	0.9017
34	0.2197	1	0.9145
35	0.2521	1	0.9185
36	0.7239	1	0.9330
37	0.0607	1	0.9328
38	0.0768	1	0.9310
39	0.0513	1	0.9181
40	0.1402	1	0.9074
41	0.1339	1	0.9143
42	0.1465	1	0.9005
43	0.2072	1	0.8713
44	0.0854	1	0.9111
45	0.0000	0	0.9295
46	0.1349	1	0.8864
47	0.2603	1	0.9172
48	0.0847	1	0.9132
49	0.0890	1	0.8498
50	0.1978	1	0.8972
51	0.3791	1	0.6569
52	0.5671	1	0.8855
53	0.2177	1	0.9094
54	0.0000	0	0.9136
55	0.0000	0	0.9064
56	0.0903	1	0.8754
57	0.1996	1	0.9224
58	0.0000	0	0.0000
59	0.0000	0	0.0000
60	0.0000	0	0.0000
61	0.0000	0	0.0000
62	0.0000	0	0.0000
63	0.0000	0	0.0000
64	0.0000	0	0.0000
65	0.0000	0	0.0000
66	0.0000	0	0.0000
67	0.0000	0	0.0000
68	0.0000	0	0.0000
69	0.0000	0	0.0000
70	0.0000	0	0.0000
71	0.0000	0	0.0000
72	0.0000	0	0.0000
73	0.0000	0	0.0000
74	0.0000	0	0.0000
75	0.2475	1	0.9423
76	0.7589	1	0.9094
77	0.6012	1	0.8911
78	0.3445	1	0.9226
79	0.4437	1	0.9360
80	0.1360	1	0.9230
81	0.0000	0	0.9400
82	0.0000	0	0.9403
83	0.0000	0	0.9403
84	0.2420	1	0.8931
85	0.2967	1	0.9032
86	0.0932	1	0.9055
87	0.1176	1	0.9109
88	0.4402	1	0.8970
89	0.2675	1	0.8808
90	0.1722	1	0.9108
91	0.2660	1	0.8635
92	0.3439	1	0.9194
93	0.5071	1	0.8892
94	0.1589	1	0.8790
95	0.1233	1	0.8700
96	0.0894	1	0.9189
97	0.0910	1	0.9223
98	0.0000	0	0.9153
99	0.6172	1	0.8582
100	0.0000	0	0.0000
101	0.0000	0	0.0000
102	0.0000	0	0.0000
103	0.0000	0	0.0000
104	0.0000	0	0.0000
105	0.0000	0	0.0000
106	0.0000	0	0.0000
107	0.0000	0	0.0000
108	0.1243	1	0.8670
109	0.7586	1	0.8976
110	0.4799	1	0.8743
111	0.3632	1	0.6808
112	0.8673	1	0.8833
113	0.8023	1	0.9262
114	0.7206	1	0.9116
115	0.6650	1	0.9329
116	0.7683	1	0.9299
117	0.7603	1	0.9234
118	0.6962	1	0.9082
119	0.6190	1	0.8650
120	0.0000	0	0.0000
121	0.0000	0	0.0000
122	0.0000	0	0.0000
123	0.4639	1	0.9182
124	0.6513	1	0.8703
125	0.6355	1	0.8762
126	0.6745	1	0.8748
127	0.7466	1	0.9247
128	0.6735	1	0.9131
129	0.3526	1	0.7670
130	0.7800	1	0.9046
131	0.4390	1	0.8488
132	0.5646	1	0.8464
133	0.4433	1	0.9115
134	0.2512	1	0.9066
135	0.1873	1	0.9042
136	0.2840	1	0.8935
137	0.3268	1	0.8813
138	0.4616	1	0.8744
139	0.1214	1	0.9211
140	0.5399	1	0.8283
141	0.5503	1	0.8785
142	0.0000	0	0.0000
143	0.0000	0	0.0000
144	0.9266	1	0.8982
145	0.8639	1	0.9263
146	0.8210	1	0.9329
147	0.7871	2	0.9192
148	0.8062	1	0.9183
149	0.7496	1	0.9308
150	0.6792	1	0.9277
151	0.7945	1	0.9274
152	0.1845	1	0.8730
153	0.5507	1	0.7674
154	0.7826	1	0.7568
155	0.7030	1	0.8039
156	0.5973	2	0.6049
157	0.0000	0	0.1320
158	0.6830	1	0.8273
159	0.2455	1	0.5904
160	0.6449	1	0.7112
161	0.1639	1	0.7344
162	0.1397	2	0.8048
163	0.2356	1	0.8512
164	0.5610	1	0.8893
165	0.0736	1	0.9073
166	0.0000	0	0.9096
167	0.0610	1	0.9188
168	0.4034	1	0.9183
169	0.1799	1	0.9213
170	0.3962	1	0.9177
171	0.5384	1	0.9134
172	0.7217	1	0.8964
173	0.5048	1	0.9195
174	0.0000	0	0.0000
175	0.0000	0	0.0000
176	0.0000	0	0.0000
177	0.0000	0	0.0000
178	0.0000	0	0.0000
179	0.0000	0	0.0000
180	0.5186	1	0.8614
181	0.7145	1	0.8692
182	0.7349	1	0.8837
183	0.5305	1	0.8983
184	0.5603	1	0.8519
185	0.0000	0	0.0000
186	0.1428	1	0.7265
187	0.0000	0	0.4611
188	0.2641	1	0.7546
189	0.0000	0	0.0000
190	0.0000	0	0.4528
191	0.6739	1	0.8848
192	0.5931	2	0.9022
193	0.1408	1	0.9201
194	0.0789	1	0.9321
195	0.6901	1	0.8986
196	0.7096	1	0.8880
197	0.6307	1	0.9305
198	0.6636	1	0.9085
199	0.7138	1	0.9041
200	0.7955	1	0.9117
201	0.8829	1	0.9009
202	0.6794	1	0.8701
203	0.4556	1	0.6884
204	0.6803	1	0.7843
205	0.9054	1	0.9236
206	0.8610	1	0.8668
207	0.8632	1	0.9155
208	0.8689	1	0.9140
209	0.0000	0	0.0000
210	0.0000	0	0.0000
211	0.0000	0	0.0000
212	0.1397	1	0.9402
213	0.0883	1	0.9313
214	0.1192	1	0.8340
215	0.2879	1	0.9138
216	0.1821	1	0.8937
217	0.0000	0	0.1675
218	0.1703	1	0.9176
219	0.6165	1	0.8872
220	0.6683	1	0.8760
221	0.4536	1	0.9008
222	0.3558	2	0.9126
223	0.1400	1	0.9216
224	0.0000	0	0.9212
225	0.0000	0	0.9220
226	0.0000	0	0.9131
227	0.0000	0	0.9129
228	0.0000	0	0.8948
229	0.0000	0	0.8867
230	0.0000	0	0.9088
231	0.0000	0	0.9168
232	0.0000	0	0.9202
233	0.0000	0	0.9234
234	0.0000	0	0.9222
235	0.0000	0	0.9212
236	0.0000	0	0.9216
237	0.0000	0	0.9235
238	0.0000	0	0.9250
239	0.0000	0	0.9240
240	0.0000	0	0.9227
241	0.0000	0	0.9220
242	0.0000	0	0.9262
243	0.0000	0	0.9318
244	0.0000	0	0.9199
245	0.0000	0	0.9211
246	0.0000	0	0.9219
247	0.0000	0	0.9214
248	0.0000	0	0.8876
249	0.0000	0	0.9100
250	0.0000	0	0.8986
251	0.1211	1	0.8657
252	0.0000	0	0.0000
253	0.0000	0	0.0000
