t	shot_max_conf	shot_n	goal_max_conf
0	0.0000	0	0.0000
1	0.0000	0	0.0000
2	0.0000	0	0.0000
3	0.0000	0	0.0000
4	0.0000	0	0.0000
5	0.0000	0	0.0000
6	0.0000	0	0.0000
7	0.0000	0	0.0000
8	0.0000	0	0.2218
9	0.0000	0	0.0000
10	0.0000	0	0.0000
11	0.0000	0	0.0000
12	0.0000	0	0.0000
13	0.0000	0	0.0000
14	0.0000	0	0.0000
15	0.0000	0	0.0000
16	0.0000	0	0.0000
17	0.0000	0	0.0000
18	0.0000	0	0.0000
19	0.0000	0	0.0000
20	0.0000	0	0.0000
21	0.0000	0	0.0000
22	0.0000	0	0.0000
23	0.0000	0	0.0000
24	0.0000	0	0.0000
25	0.0000	0	0.0000
26	0.6626	1	0.8579
27	0.4902	1	0.8553
28	0.0000	0	0.7258
29	0.0000	0	0.8137
30	0.0625	1	0.7652
31	0.3635	1	0.7936
32	0.3278	1	0.8298
33	0.3377	1	0.8386
34	0.0879	1	0.8741
35	0.0000	0	0.0000
36	0.0000	0	0.0000
37	0.0000	0	0.0945
38	0.0000	0	0.3029
39	0.0000	0	0.6832
40	0.3088	1	0.2647
41	0.6791	1	0.8324
42	0.5696	1	0.8615
43	0.8310	1	0.8818
44	0.7858	1	0.9090
45	0.6980	1	0.8966
46	0.7975	1	0.8550
47	0.8133	1	0.9206
48	0.8145	1	0.8663
49	0.7890	1	0.8463
50	0.6102	1	0.9085
51	0.5726	1	0.8786
52	0.1317	1	0.7645
53	0.0000	0	0.1581
54	0.0680	1	0.6511
55	0.0000	0	0.0000
56	0.0000	0	0.0000
57	0.5608	1	0.8276
58	0.0000	0	0.0000
59	0.0000	0	0.1827
60	0.0000	0	0.5792
61	0.1273	1	0.5862
62	0.5632	1	0.7554
63	0.6767	1	0.7064
64	0.3584	1	0.8195
65	0.0000	0	0.7230
66	0.0000	0	0.8244
67	0.2792	1	0.7993
68	0.6147	1	0.8638
69	0.6921	1	0.8669
70	0.7931	1	0.8798
71	0.7206	1	0.8774
72	0.6174	1	0.8463
73	0.8033	1	0.8915
74	0.7745	1	0.9087
75	0.7694	1	0.8879
76	0.0000	0	0.0000
77	0.0000	0	0.0000
78	0.0000	0	0.0000
79	0.0000	0	0.0000
80	0.0000	0	0.0000
81	0.0000	0	0.7929
82	0.0000	0	0.0000
83	0.5220	1	0.6755
84	0.1224	1	0.6734
85	0.7457	1	0.6465
86	0.0000	0	0.4513
87	0.4074	1	0.6910
88	0.6191	1	0.8385
89	0.7786	1	0.8873
90	0.0000	0	0.0000
91	0.0000	0	0.0000
92	0.2128	1	0.7931
93	0.6216	1	0.3739
94	0.4494	1	0.4215
95	0.7346	1	0.8649
96	0.7799	1	0.8980
97	0.8129	1	0.9026
98	0.0000	0	0.0000
99	0.0000	0	0.0000
100	0.0000	0	0.0000
101	0.0000	0	0.0000
102	0.0000	0	0.0000
103	0.0000	0	0.0000
104	0.0000	0	0.0508
105	0.0762	1	0.7938
106	0.0000	0	0.8253
107	0.5612	1	0.8319
108	0.6108	1	0.6592
109	0.6320	1	0.7137
110	0.4585	1	0.7167
111	0.6965	1	0.8001
112	0.7515	1	0.8553
113	0.5421	1	0.8404
114	0.4023	1	0.8357
115	0.4722	1	0.7347
116	0.1465	1	0.3884
117	0.1067	1	0.3023
118	0.6286	1	0.8130
119	0.0752	1	0.5112
120	0.0000	0	0.6567
121	0.0000	0	0.0000
122	0.0000	0	0.0000
123	0.0000	0	0.0000
124	0.0000	0	0.0000
125	0.0000	0	0.0000
126	0.0000	0	0.0685
127	0.0000	0	0.0000
128	0.0000	0	0.0000
129	0.0000	0	0.0000
130	0.0000	0	0.0000
131	0.0000	0	0.0000
132	0.0000	0	0.0000
133	0.0000	0	0.0000
134	0.0000	0	0.0000
135	0.0000	0	0.0000
136	0.0000	0	0.0000
137	0.0000	0	0.0000
138	0.0000	0	0.0000
139	0.0000	0	0.0000
140	0.0000	0	0.0000
141	0.0000	0	0.8176
142	0.4167	1	0.8676
143	0.0000	0	0.7896
144	0.3248	1	0.7473
145	0.6289	1	0.8239
146	0.0000	0	0.5640
147	0.0000	0	0.5053
148	0.0000	0	0.5616
149	0.1093	1	0.5211
150	0.4607	2	0.6526
151	0.0000	0	0.8186
152	0.0000	0	0.8186
153	0.6202	1	0.5379
154	0.5910	1	0.8146
155	0.6542	1	0.8904
156	0.5687	1	0.8866
157	0.5646	2	0.8759
158	0.5302	1	0.8932
159	0.3357	1	0.9086
160	0.6191	1	0.9264
161	0.5598	1	0.8878
162	0.0000	0	0.7994
163	0.0000	0	0.8387
164	0.0000	0	0.8827
165	0.0000	0	0.8955
166	0.4842	1	0.8791
167	0.4944	1	0.8331
168	0.4173	1	0.8774
169	0.4283	2	0.8516
170	0.5750	1	0.8464
171	0.0000	0	0.0000
172	0.0000	0	0.0000
173	0.0000	0	0.0000
174	0.0000	0	0.0000
175	0.0000	0	0.0821
176	0.0000	0	0.0000
177	0.0765	1	0.8418
178	0.3453	1	0.8033
179	0.0000	0	0.1602
180	0.0000	0	0.0000
181	0.0000	0	0.0000
182	0.0000	0	0.0000
183	0.0000	0	0.0000
184	0.0000	0	0.4501
185	0.6132	1	0.8874
186	0.4136	1	0.8386
187	0.7430	1	0.8604
188	0.6797	2	0.8759
189	0.6766	1	0.8638
190	0.7716	1	0.8899
191	0.7157	1	0.8867
192	0.6626	1	0.8615
193	0.4979	1	0.8944
194	0.3366	1	0.8998
195	0.3949	1	0.9123
196	0.1114	1	0.9348
197	0.0811	1	0.9235
198	0.0000	0	0.9277
199	0.0693	1	0.8933
200	0.0000	0	0.8984
201	0.0000	0	0.1896
202	0.0000	0	0.0000
203	0.0000	0	0.0000
204	0.0000	0	0.0000
205	0.0000	0	0.0000
206	0.0000	0	0.0000
207	0.0000	0	0.0000
208	0.0000	0	0.0000
209	0.0000	0	0.0000
210	0.0000	0	0.0000
211	0.7903	1	0.8379
212	0.7068	1	0.7013
213	0.6009	1	0.6798
214	0.7160	1	0.8484
215	0.7142	1	0.8836
216	0.7347	1	0.7978
217	0.6332	1	0.8630
218	0.6836	1	0.8132
219	0.6012	1	0.7640
220	0.7626	1	0.8174
221	0.0000	0	0.0000
222	0.1108	1	0.4144
223	0.0598	1	0.8868
224	0.8171	2	0.8796
225	0.7965	1	0.8887
226	0.7662	1	0.9136
227	0.4728	1	0.9188
228	0.3537	1	0.9160
229	0.2872	1	0.9059
230	0.3031	1	0.9195
231	0.3074	1	0.9400
232	0.3587	1	0.9312
233	0.3513	1	0.9169
234	0.6260	1	0.8910
235	0.4440	1	0.4412
236	0.5178	1	0.4562
237	0.0000	0	0.7249
238	0.4397	1	0.9210
239	0.6827	1	0.6311
240	0.5987	1	0.8566
241	0.5467	1	0.8561
242	0.5359	1	0.8207
243	0.5160	1	0.8592
244	0.3275	1	0.8946
245	0.4665	1	0.8387
246	0.7252	1	0.8012
247	0.3199	1	0.5851
248	0.3578	1	0.7771
249	0.5822	1	0.8411
250	0.6951	1	0.8701
251	0.6647	1	0.6976
252	0.7377	1	0.9183
253	0.0000	0	0.0000
