t	shot_max_conf	shot_n	goal_max_conf
0	0.0000	0	0.0000
1	0.0000	0	0.0000
2	0.0000	0	0.0000
3	0.0000	0	0.0000
4	0.0000	0	0.0000
5	0.0000	0	0.0000
6	0.0000	0	0.5322
7	0.0000	0	0.8927
8	0.0000	0	0.8635
9	0.0000	0	0.8463
10	0.0000	0	0.8593
11	0.2746	1	0.8629
12	0.0000	0	0.8857
13	0.0000	0	0.0000
14	0.3086	1	0.9225
15	0.2882	1	0.9221
16	0.7034	1	0.9022
17	0.1973	1	0.6577
18	0.0000	0	0.0000
19	0.5934	1	0.8017
20	0.0000	0	0.8202
21	0.0000	0	0.8760
22	0.0000	0	0.8741
23	0.0000	0	0.8646
24	0.1805	1	0.8124
25	0.0836	1	0.8349
26	0.3433	1	0.8749
27	0.3039	1	0.8575
28	0.3565	1	0.8003
29	0.3808	1	0.8591
30	0.4899	1	0.6705
31	0.0000	0	0.7624
32	0.2267	1	0.6103
33	0.0000	0	0.6247
34	0.0000	0	0.6790
35	0.0000	0	0.5500
36	0.0000	0	0.6864
37	0.0000	0	0.7288
38	0.3147	1	0.6626
39	0.7688	1	0.8556
40	0.6209	1	0.8473
41	0.4214	2	0.8902
42	0.7631	1	0.8716
43	0.1316	1	0.9251
44	0.7621	1	0.8555
45	0.6957	1	0.8401
46	0.6847	1	0.9338
47	0.0000	0	0.0000
48	0.0000	0	0.0000
49	0.0000	0	0.0000
50	0.0000	0	0.0000
51	0.0000	0	0.0000
52	0.0000	0	0.0000
53	0.0000	0	0.0000
54	0.0000	0	0.0000
55	0.0000	0	0.0000
56	0.0000	0	0.0000
57	0.0000	0	0.0000
58	0.0000	0	0.0000
59	0.0000	0	0.0000
60	0.0719	1	0.9169
61	0.1886	1	0.9331
62	0.2566	2	0.9291
63	0.0943	1	0.9220
64	0.4819	1	0.5572
65	0.4803	1	0.9042
66	0.2901	1	0.8891
67	0.3366	1	0.8908
68	0.3028	1	0.8880
69	0.3316	1	0.8685
70	0.5227	1	0.8949
71	0.1467	1	0.9229
72	0.0512	1	0.9349
73	0.0645	1	0.9565
74	0.1055	1	0.9548
75	0.0649	1	0.9402
76	0.1009	1	0.9174
77	0.0667	1	0.9309
78	0.2874	2	0.9148
79	0.5075	1	0.9179
80	0.2446	1	0.8898
81	0.2925	1	0.9330
82	0.0714	1	0.9432
83	0.0576	1	0.9344
84	0.0700	1	0.9310
85	0.0596	1	0.9246
86	0.1165	1	0.9448
87	0.1426	1	0.9236
88	0.1431	1	0.8998
89	0.0000	0	0.9049
90	0.3908	1	0.8681
91	0.3384	1	0.9015
92	0.0540	1	0.8968
93	0.0000	0	0.9124
94	0.0533	1	0.9128
95	0.0000	0	0.9102
96	0.1239	1	0.9367
97	0.0000	0	0.0000
98	0.0000	0	0.0000
99	0.0000	0	0.0000
100	0.0000	0	0.0000
101	0.0000	0	0.0000
102	0.0000	0	0.0000
103	0.0000	0	0.0000
104	0.0000	0	0.0000
105	0.0000	0	0.9302
106	0.0000	0	0.9057
107	0.0000	0	0.9256
108	0.0000	0	0.8962
109	0.2901	1	0.8604
110	0.4870	1	0.8647
111	0.3458	1	0.8344
112	0.2092	1	0.6671
113	0.6667	1	0.8858
114	0.5360	1	0.8429
115	0.3921	1	0.8638
116	0.3812	1	0.8656
117	0.4893	1	0.8788
118	0.6537	1	0.8560
119	0.3345	1	0.8554
120	0.7123	1	0.9006
121	0.6916	1	0.9196
122	0.4759	1	0.8892
123	0.5165	1	0.8748
124	0.3910	1	0.9041
125	0.1217	1	0.8999
126	0.3015	1	0.9105
127	0.0000	0	0.0000
128	0.0000	0	0.0000
129	0.0000	0	0.0000
130	0.0000	0	0.0000
131	0.0000	0	0.0709
132	0.4563	1	0.9027
133	0.6879	1	0.8797
134	0.5979	1	0.8661
135	0.0000	0	0.9103
136	0.3157	1	0.8918
137	0.3888	1	0.8691
138	0.2655	1	0.9387
139	0.2344	1	0.9302
140	0.0990	1	0.9347
141	0.2079	1	0.9480
142	0.4855	1	0.9408
143	0.2348	1	0.9359
144	0.1007	1	0.9301
145	0.0739	1	0.9226
146	0.1817	1	0.9505
147	0.1171	1	0.9305
148	0.4606	1	0.9168
149	0.7148	1	0.8778
150	0.5553	2	0.8739
151	0.5608	1	0.8873
152	0.6173	1	0.8969
153	0.1474	1	0.8967
154	0.2296	1	0.9029
155	0.1294	1	0.8939
156	0.1885	1	0.9075
157	0.0000	0	0.9090
158	0.0737	1	0.8696
159	0.1910	1	0.9114
160	0.4260	1	0.9200
161	0.7260	2	0.9192
162	0.3788	1	0.9244
163	0.1983	1	0.9252
164	0.4377	1	0.9223
165	0.7371	1	0.8973
166	0.4810	1	0.8350
167	0.3706	1	0.9033
168	0.5790	1	0.8957
169	0.5515	1	0.9101
170	0.4238	1	0.9146
171	0.6483	1	0.8893
172	0.3826	1	0.9278
173	0.2004	1	0.9354
174	0.5288	1	0.9352
175	0.4887	1	0.9277
176	0.3966	1	0.9243
177	0.4470	1	0.9391
178	0.6110	2	0.9094
179	0.0919	1	0.9060
180	0.0697	1	0.8663
181	0.0751	1	0.8509
182	0.1292	1	0.9191
183	0.1695	1	0.9290
184	0.3296	1	0.9275
185	0.6256	1	0.9171
186	0.4546	1	0.9260
187	0.3072	1	0.9073
188	0.1821	1	0.9344
189	0.3425	1	0.9330
190	0.2020	1	0.9340
191	0.1611	1	0.9300
192	0.1316	1	0.9334
193	0.1655	1	0.9233
194	0.1611	1	0.9478
195	0.1753	1	0.9253
196	0.1336	1	0.9321
197	0.1591	1	0.9236
198	0.1125	1	0.9415
199	0.2161	1	0.9267
200	0.2161	1	0.9269
201	0.2430	1	0.9323
202	0.2598	1	0.9448
203	0.2714	1	0.9379
204	0.2161	1	0.9288
205	0.1361	1	0.9493
206	0.1314	1	0.9504
207	0.1609	1	0.9469
208	0.1400	1	0.9506
209	0.1727	1	0.9366
210	0.1386	1	0.9323
211	0.1853	1	0.9386
212	0.2523	1	0.9314
213	0.2786	1	0.9437
214	0.1819	1	0.9326
215	0.2609	1	0.9432
216	0.2631	1	0.9324
217	0.1476	1	0.9314
218	0.2117	1	0.9339
219	0.2223	1	0.9400
220	0.0801	1	0.9257
221	0.1901	1	0.9409
222	0.2921	1	0.9380
223	0.2319	1	0.9309
224	0.3861	1	0.9335
225	0.2682	1	0.9539
226	0.0000	0	0.0000
227	0.0000	0	0.0000
228	0.0000	0	0.0000
229	0.3943	1	0.8881
230	0.8050	1	0.9005
231	0.8609	1	0.9320
232	0.7709	1	0.8766
233	0.7130	1	0.8876
234	0.6507	1	0.9199
235	0.5619	1	0.9252
236	0.5716	1	0.9273
237	0.6674	1	0.8329
238	0.1485	1	0.8841
239	0.3137	1	0.8193
240	0.0000	0	0.7535
241	0.2343	1	0.6897
242	0.5482	1	0.8015
243	0.1402	1	0.8787
244	0.0000	0	0.8519
245	0.0000	0	0.8585
246	0.4874	1	0.7926
247	0.7815	1	0.8936
248	0.7005	2	0.8639
249	0.8569	1	0.9169
250	0.7458	1	0.8599
251	0.1526	1	0.8999
252	0.1076	1	0.8726
253	0.2025	1	0.9087
