t	shot_max_conf	shot_n	goal_max_conf
0	0.0510	1	0.0926
1	0.0000	0	0.0850
2	0.0000	0	0.0000
3	0.0000	0	0.0990
4	0.0000	0	0.1200
5	0.0000	0	0.0000
6	0.0000	0	0.0000
7	0.0000	0	0.0000
8	0.0805	1	0.0000
9	0.0000	0	0.1271
10	0.0000	0	0.0000
11	0.0000	0	0.0639
12	0.0000	0	0.0000
13	0.0000	0	0.0000
14	0.0649	1	0.0563
15	0.0000	0	0.0000
16	0.0000	0	0.0000
17	0.0000	0	0.0000
18	0.0537	1	0.1435
19	0.0000	0	0.0000
20	0.0000	0	0.0514
21	0.0000	0	0.0000
22	0.3583	1	0.7533
23	0.0904	1	0.5332
24	0.0000	0	0.0000
25	0.1229	1	0.4531
26	0.0000	0	0.0576
27	0.0000	0	0.0000
28	0.0000	0	0.0000
29	0.0000	0	0.0000
30	0.0000	0	0.0000
31	0.0000	0	0.5417
32	0.0517	1	0.6415
33	0.0545	1	0.8325
34	0.0000	0	0.0000
35	0.0000	0	0.0000
36	0.0000	0	0.0000
37	0.0000	0	0.0000
38	0.0000	0	0.3120
39	0.0000	0	0.0000
40	0.0000	0	0.0000
41	0.3441	1	0.6815
42	0.0832	1	0.2306
43	0.0000	0	0.1343
44	0.0000	0	0.0803
45	0.1235	1	0.1205
46	0.0000	0	0.1232
47	0.0860	1	0.1198
48	0.1235	2	0.7894
49	0.0902	1	0.8576
50	0.0000	0	0.0000
51	0.0000	0	0.0000
52	0.0000	0	0.0511
53	0.0000	0	0.2293
54	0.2504	1	0.5616
55	0.0000	0	0.3401
56	0.4349	1	0.5528
57	0.0000	0	0.5651
58	0.0000	0	0.2550
59	0.0000	0	0.6068
60	0.0936	1	0.2834
61	0.1204	1	0.6371
62	0.0000	0	0.2238
63	0.0637	1	0.5843
64	0.0542	1	0.0615
65	0.0831	1	0.0000
66	0.0000	0	0.0000
67	0.0000	0	0.2886
68	0.0000	0	0.0000
69	0.0000	0	0.0000
70	0.0000	0	0.0000
71	0.0000	0	0.0000
72	0.0000	0	0.0000
73	0.0000	0	0.4229
74	0.0000	0	0.0000
75	0.0000	0	0.0000
76	0.0000	0	0.0000
77	0.0000	0	0.0000
78	0.0000	0	0.0000
79	0.0000	0	0.0000
80	0.0735	1	0.1076
81	0.0000	0	0.0736
82	0.0000	0	0.0000
83	0.1351	1	0.0990
84	0.1090	1	0.1125
85	0.1459	1	0.1675
86	0.1019	1	0.1003
87	0.1404	1	0.1216
88	0.1074	1	0.1494
89	0.0849	1	0.0514
90	0.0912	1	0.0000
91	0.1434	1	0.1671
92	0.0000	0	0.0000
93	0.0000	0	0.0000
94	0.0000	0	0.1974
95	0.0000	0	0.0000
96	0.1639	2	0.3694
