t	shot_max_conf	shot_n	goal_max_conf
0	0.0000	0	0.0000
1	0.0000	0	0.0000
2	0.0000	0	0.0000
3	0.0000	0	0.0000
4	0.0000	0	0.0000
5	0.0000	0	0.0000
6	0.0000	0	0.0000
7	0.0000	0	0.0000
8	0.0000	0	0.0000
9	0.6631	1	0.8603
10	0.3786	1	0.8780
11	0.0000	0	0.8359
12	0.3306	1	0.7549
13	0.6903	1	0.8627
14	0.6653	1	0.6637
15	0.8411	2	0.7086
16	0.0000	0	0.0000
17	0.8101	2	0.6763
18	0.7352	1	0.8388
19	0.7620	1	0.8260
20	0.6438	1	0.5032
21	0.7073	1	0.8385
22	0.5298	1	0.8130
23	0.7112	1	0.8320
24	0.4356	1	0.8931
25	0.6539	2	0.8711
26	0.2627	1	0.8858
27	0.0953	1	0.3563
28	0.0000	0	0.0662
29	0.0000	0	0.0000
30	0.0000	0	0.0000
31	0.5638	1	0.8061
32	0.5189	1	0.8430
33	0.0000	0	0.7648
34	0.0760	1	0.3576
35	0.6215	1	0.7980
36	0.7161	1	0.7504
37	0.6649	1	0.7228
38	0.7740	1	0.8173
39	0.7858	1	0.8491
40	0.2510	2	0.8374
41	0.4507	1	0.9077
42	0.6505	1	0.8599
43	0.0000	0	0.4000
44	0.6834	1	0.8917
45	0.0862	1	0.8280
46	0.0000	0	0.8246
47	0.2367	1	0.8161
48	0.8572	1	0.8877
49	0.8055	1	0.8870
50	0.0849	1	0.8476
51	0.5413	1	0.8468
52	0.6178	1	0.8981
53	0.6126	1	0.9212
54	0.4977	1	0.7972
55	0.0000	0	0.7728
56	0.3910	1	0.6928
57	0.0525	1	0.3231
58	0.0859	1	0.0000
59	0.0000	0	0.0000
60	0.0000	0	0.8224
61	0.3278	1	0.8723
62	0.0000	0	0.0000
63	0.0000	0	0.0000
64	0.0000	0	0.1169
65	0.0644	1	0.0566
66	0.0000	0	0.0613
67	0.0000	0	0.0000
68	0.0000	0	0.0000
69	0.7542	1	0.8753
70	0.2528	2	0.8776
71	0.3397	1	0.7946
72	0.0000	0	0.8712
73	0.0551	1	0.8122
74	0.7102	1	0.7032
75	0.0000	0	0.7338
76	0.6221	1	0.7672
77	0.4181	1	0.6770
78	0.4495	1	0.4002
79	0.1459	1	0.7996
80	0.5594	2	0.8734
81	0.6964	2	0.6658
82	0.7808	1	0.7482
83	0.5920	1	0.8603
84	0.4687	1	0.9119
85	0.4817	1	0.9044
86	0.6528	1	0.8519
87	0.2162	1	0.8863
88	0.5853	1	0.9094
89	0.2602	1	0.8850
90	0.6731	1	0.8146
91	0.6125	1	0.8504
92	0.6127	1	0.8144
93	0.4537	1	0.6849
94	0.1999	1	0.5878
95	0.4916	1	0.8735
96	0.5646	2	0.8302
97	0.5459	1	0.7800
98	0.2183	1	0.0000
99	0.7303	1	0.7887
100	0.0000	0	0.0000
101	0.2413	1	0.9310
102	0.1820	1	0.9250
103	0.0923	1	0.9305
104	0.0000	0	0.9386
105	0.0000	0	0.9242
106	0.3754	1	0.8624
107	0.3462	1	0.8859
108	0.1042	1	0.8989
109	0.0590	1	0.9071
110	0.1472	1	0.8034
111	0.0000	0	0.5411
112	0.0000	0	0.0000
113	0.0000	0	0.0000
114	0.0000	0	0.0000
115	0.0000	0	0.0000
116	0.0000	0	0.1307
117	0.0000	0	0.0000
118	0.0000	0	0.0000
119	0.0000	0	0.0000
120	0.0000	0	0.0000
121	0.0000	0	0.0000
122	0.0000	0	0.0000
123	0.0000	0	0.0000
124	0.0000	0	0.0000
125	0.0000	0	0.0000
126	0.0000	0	0.0000
127	0.0000	0	0.0000
128	0.0000	0	0.0000
129	0.0000	0	0.0000
130	0.0000	0	0.0000
131	0.0000	0	0.0630
132	0.0000	0	0.0000
133	0.0000	0	0.0000
134	0.0000	0	0.0000
135	0.1978	1	0.0686
136	0.4416	2	0.9042
137	0.5494	1	0.9083
138	0.5611	1	0.8779
139	0.8219	1	0.8763
140	0.6864	2	0.8546
141	0.7051	2	0.8710
142	0.3076	1	0.6778
143	0.0000	0	0.0000
144	0.0000	0	0.0000
145	0.0000	0	0.0000
146	0.0899	1	0.0599
147	0.0000	0	0.0000
148	0.0000	0	0.5457
149	0.7348	1	0.8710
150	0.2292	2	0.8332
151	0.1777	2	0.7315
152	0.3725	1	0.8569
153	0.4224	1	0.8647
154	0.0000	0	0.8130
155	0.4343	1	0.6719
156	0.0000	0	0.7788
157	0.0000	0	0.7519
158	0.0695	1	0.7483
159	0.3378	1	0.7908
160	0.6789	1	0.8244
161	0.4874	1	0.8496
162	0.5040	1	0.8611
163	0.1717	1	0.9097
164	0.1563	1	0.9017
165	0.3825	1	0.8475
166	0.4114	1	0.9057
167	0.0000	0	0.0000
168	0.0000	0	0.0000
169	0.0523	1	0.5095
170	0.0000	0	0.0509
171	0.0000	0	0.0000
172	0.0000	0	0.0000
173	0.6821	1	0.8655
174	0.6977	1	0.8091
175	0.5773	1	0.8141
176	0.6571	1	0.8229
177	0.4035	2	0.8508
178	0.0000	0	0.0000
179	0.0000	0	0.0874
180	0.0000	0	0.0000
181	0.0000	0	0.0000
182	0.0000	0	0.0000
183	0.6268	1	0.8818
184	0.4103	1	0.7766
185	0.0000	0	0.0555
186	0.0823	1	0.8574
187	0.0000	0	0.7602
188	0.0000	0	0.7840
189	0.0000	0	0.7417
190	0.5975	1	0.8103
191	0.3368	2	0.7728
192	0.1630	1	0.8404
193	0.5307	1	0.8836
194	0.0695	2	0.8700
195	0.2674	1	0.8850
196	0.0000	0	0.0000
197	0.2647	2	0.0890
198	0.0000	0	0.0000
199	0.5480	1	0.8399
200	0.1098	1	0.8210
201	0.0871	1	0.6505
202	0.7057	2	0.7749
203	0.5592	1	0.5704
204	0.7694	1	0.7957
205	0.8344	1	0.9119
206	0.5697	1	0.9314
207	0.4332	1	0.8752
208	0.0000	0	0.0000
209	0.0000	0	0.0000
210	0.0000	0	0.0000
211	0.0000	0	0.3547
212	0.8848	1	0.8775
213	0.3810	1	0.8605
214	0.5681	1	0.8236
215	0.2835	1	0.1478
216	0.2186	1	0.7694
217	0.6614	1	0.5103
218	0.0000	0	0.7986
219	0.4445	1	0.7498
220	0.0000	0	0.6493
221	0.4907	1	0.8292
222	0.4731	1	0.8069
223	0.4383	1	0.8442
224	0.0000	0	0.7508
225	0.5259	1	0.8374
226	0.6099	1	0.7983
227	0.0000	0	0.7766
228	0.1297	1	0.5846
229	0.6786	1	0.6470
230	0.7320	1	0.6958
231	0.5776	1	0.8300
232	0.6879	1	0.8381
233	0.0000	0	0.7578
234	0.6748	1	0.8188
235	0.7603	1	0.7784
236	0.6580	1	0.8658
237	0.7605	2	0.7580
238	0.3906	1	0.8876
239	0.7963	1	0.8104
240	0.7321	1	0.8833
241	0.3583	2	0.8781
242	0.6697	2	0.8368
243	0.2858	1	0.8883
244	0.0000	0	0.0924
245	0.0000	0	0.0000
246	0.0000	0	0.0000
247	0.0000	0	0.0000
248	0.0000	0	0.4328
249	0.0000	0	0.0000
250	0.0000	0	0.2015
251	0.0000	0	0.0000
252	0.0616	1	0.2576
253	0.1094	1	0.8723
