t	shot_max_conf	shot_n	goal_max_conf
0	0.3831	1	0.7107
1	0.6402	1	0.8101
2	0.7364	1	0.8138
3	0.0000	0	0.0000
4	0.4317	1	0.8368
5	0.0000	0	0.2260
6	0.0000	0	0.0000
7	0.0000	0	0.0000
8	0.0000	0	0.0000
9	0.1103	1	0.3371
10	0.0000	0	0.0000
11	0.1576	1	0.6654
12	0.0757	1	0.1737
13	0.0000	0	0.0000
14	0.0000	0	0.0000
15	0.0000	0	0.0000
16	0.1304	1	0.0000
17	0.0000	0	0.0000
18	0.0000	0	0.0000
19	0.0000	0	0.0000
20	0.0000	0	0.0000
21	0.0000	0	0.0000
22	0.0000	0	0.3392
23	0.2254	1	0.5357
24	0.2871	1	0.6072
25	0.0000	0	0.0000
26	0.0000	0	0.0544
27	0.0000	0	0.0000
28	0.2773	1	0.6684
29	0.0000	0	0.1513
30	0.0000	0	0.0756
31	0.0000	0	0.0000
32	0.0000	0	0.0000
33	0.0000	0	0.0000
34	0.0000	0	0.0000
35	0.0000	0	0.0000
36	0.0000	0	0.0000
37	0.0000	0	0.0000
38	0.0000	0	0.0000
39	0.0000	0	0.0000
40	0.3862	1	0.6425
41	0.0000	0	0.4649
42	0.0000	0	0.0000
43	0.0000	0	0.0000
44	0.0000	0	0.0000
45	0.0000	0	0.0000
46	0.3184	1	0.3571
47	0.0000	0	0.1054
48	0.0000	0	0.0000
49	0.0000	0	0.0000
50	0.0000	0	0.0000
51	0.1377	1	0.4739
52	0.0000	0	0.0000
53	0.4194	1	0.7015
54	0.0000	0	0.7360
55	0.3036	1	0.8314
56	0.4128	1	0.5739
57	0.0792	1	0.6683
58	0.0000	0	0.6647
59	0.0000	0	0.3808
60	0.0000	0	0.7059
61	0.0000	0	0.3810
62	0.0000	0	0.0000
63	0.0000	0	0.0000
64	0.0000	0	0.5845
65	0.0000	0	0.0000
66	0.0000	0	0.0000
67	0.0000	0	0.1263
68	0.6320	2	0.7621
69	0.1390	1	0.7274
70	0.1313	1	0.5876
71	0.0000	0	0.0000
72	0.0000	0	0.0898
73	0.0000	0	0.0000
74	0.0000	0	0.1613
75	0.4496	1	0.8313
76	0.0000	0	0.0541
77	0.0000	0	0.0000
78	0.0000	0	0.0000
79	0.0000	0	0.0000
80	0.0000	0	0.0000
81	0.0000	0	0.0000
82	0.0000	0	0.5379
83	0.0000	0	0.0000
84	0.0000	0	0.0000
85	0.0000	0	0.0000
86	0.0000	0	0.1030
87	0.0000	0	0.0000
88	0.0000	0	0.0000
89	0.0000	0	0.0000
90	0.0000	0	0.0000
91	0.0984	1	0.3485
92	0.0000	0	0.0000
93	0.0000	0	0.2627
94	0.0000	0	0.0000
95	0.0000	0	0.1516
96	0.0669	1	0.2603
97	0.0000	0	0.5145
98	0.0000	0	0.4154
99	0.0000	0	0.0000
100	0.0000	0	0.0000
101	0.0984	1	0.2805
102	0.0919	1	0.0000
103	0.0000	0	0.3356
104	0.1209	1	0.6160
105	0.3658	1	0.6352
106	0.0000	0	0.1420
107	0.2446	1	0.5331
108	0.4072	1	0.7051
109	0.2180	1	0.8751
110	0.4164	1	0.6612
