t	shot_max_conf	shot_n	goal_max_conf
0	0.0000	0	0.0000
1	0.0000	0	0.0000
2	0.0000	0	0.0000
3	0.0000	0	0.0000
4	0.0000	0	0.0000
5	0.0000	0	0.0000
6	0.0000	0	0.0000
7	0.0000	0	0.0000
8	0.0000	0	0.0000
9	0.0000	0	0.0000
10	0.0000	0	0.0000
11	0.0000	0	0.0000
12	0.0000	0	0.0000
13	0.0000	0	0.1393
14	0.0000	0	0.6961
15	0.0000	0	0.0000
16	0.0000	0	0.0000
17	0.0000	0	0.0000
18	0.2145	1	0.6839
19	0.0000	0	0.8521
20	0.0000	0	0.8596
21	0.0000	0	0.7992
22	0.0000	0	0.7993
23	0.6691	1	0.5823
24	0.6529	1	0.7004
25	0.5968	1	0.6883
26	0.0000	0	0.7597
27	0.2234	1	0.7117
28	0.2190	1	0.7914
29	0.0000	0	0.8279
30	0.0000	0	0.7020
31	0.0000	0	0.7846
32	0.0000	0	0.8422
33	0.0000	0	0.7984
34	0.0000	0	0.8257
35	0.0000	0	0.8416
36	0.0000	0	0.8672
37	0.0000	0	0.8277
38	0.0000	0	0.8559
39	0.3587	1	0.8108
40	0.4119	1	0.7678
41	0.2606	1	0.5481
42	0.4652	1	0.7121
43	0.3671	1	0.6333
44	0.2647	1	0.6588
45	0.2862	1	0.7625
46	0.2708	1	0.7137
47	0.3232	1	0.8034
48	0.3540	1	0.8245
49	0.3823	1	0.8176
50	0.2239	1	0.7535
51	0.2817	1	0.8366
52	0.2367	1	0.8177
53	0.0000	0	0.0000
54	0.0000	0	0.0000
55	0.0000	0	0.0000
56	0.0000	0	0.0000
57	0.0000	0	0.6956
58	0.0000	0	0.5568
59	0.0000	0	0.1378
60	0.0000	0	0.6419
61	0.0000	0	0.0000
62	0.0000	0	0.0000
63	0.0000	0	0.0000
64	0.0000	0	0.0000
65	0.0000	0	0.0000
66	0.0000	0	0.0000
67	0.0933	1	0.7734
68	0.0000	0	0.7188
69	0.0000	0	0.7212
70	0.2434	1	0.4853
71	0.0000	0	0.0000
72	0.4971	1	0.5793
73	0.0000	0	0.0000
74	0.0000	0	0.0000
75	0.0000	0	0.4612
76	0.0000	0	0.7938
77	0.0000	0	0.8301
78	0.5375	1	0.7981
79	0.0000	0	0.0000
80	0.0000	0	0.0000
81	0.0000	0	0.0000
82	0.0000	0	0.0000
83	0.0000	0	0.0000
84	0.0000	0	0.1912
85	0.0000	0	0.0000
86	0.0000	0	0.6496
87	0.5243	1	0.7330
88	0.2396	1	0.7674
89	0.0000	0	0.2997
90	0.3736	1	0.1632
91	0.1045	1	0.5352
92	0.1710	1	0.6749
93	0.0000	0	0.6122
94	0.0000	0	0.6636
95	0.4368	1	0.7933
96	0.3394	1	0.6838
97	0.4157	1	0.7446
98	0.4932	1	0.7841
99	0.1626	1	0.7811
100	0.0000	0	0.8567
101	0.0000	0	0.6970
102	0.2388	1	0.8483
103	0.2716	1	0.7729
104	0.0000	0	0.5056
105	0.0677	1	0.5486
106	0.0000	0	0.0000
107	0.0000	0	0.1836
108	0.0000	0	0.1360
109	0.0000	0	0.6921
110	0.0000	0	0.7641
111	0.0000	0	0.6632
112	0.6085	1	0.7889
113	0.0000	0	0.0622
114	0.2661	1	0.6927
115	0.6521	1	0.5027
116	0.0000	0	0.0000
117	0.0509	1	0.2836
118	0.5675	1	0.8193
119	0.0000	0	0.7787
120	0.0000	0	0.0000
121	0.0000	0	0.2271
122	0.0000	0	0.0000
123	0.2590	1	0.5617
124	0.0000	0	0.4742
125	0.5610	1	0.8514
126	0.0000	0	0.8496
127	0.0000	0	0.5207
128	0.4256	1	0.6444
129	0.3876	1	0.5425
130	0.4677	1	0.6941
131	0.2004	1	0.4301
132	0.2653	1	0.7921
133	0.3597	1	0.7418
134	0.3167	1	0.7071
135	0.1112	1	0.6113
136	0.3069	1	0.1570
137	0.0000	0	0.0000
138	0.0000	0	0.0000
139	0.0000	0	0.0000
140	0.0000	0	0.0000
141	0.0000	0	0.0000
142	0.0000	0	0.0000
143	0.0000	0	0.0000
144	0.0000	0	0.0000
145	0.0000	0	0.0000
146	0.0000	0	0.0000
147	0.0000	0	0.0000
148	0.0000	0	0.0000
149	0.0000	0	0.0000
150	0.0000	0	0.0000
151	0.0000	0	0.0000
152	0.0000	0	0.0000
153	0.0000	0	0.0000
154	0.0000	0	0.0000
155	0.0000	0	0.0000
156	0.1214	1	0.0823
157	0.5072	1	0.8135
158	0.0000	0	0.8406
159	0.0937	1	0.8112
160	0.0000	0	0.8337
161	0.0000	0	0.0000
162	0.0000	0	0.0000
163	0.0000	0	0.0000
164	0.0000	0	0.0000
165	0.0000	0	0.0000
166	0.0000	0	0.0000
167	0.2165	1	0.4093
168	0.0527	1	0.7901
169	0.1564	1	0.7804
170	0.0000	0	0.7890
171	0.0000	0	0.7891
172	0.3817	1	0.8866
173	0.2197	1	0.7171
174	0.7063	1	0.8165
175	0.7628	1	0.8470
176	0.5787	1	0.7185
177	0.1443	1	0.2614
178	0.4668	2	0.6837
179	0.5119	1	0.7233
180	0.0892	1	0.0000
181	0.5280	1	0.7995
182	0.6405	1	0.8235
183	0.4025	1	0.4355
184	0.0000	0	0.3958
185	0.0000	0	0.5478
186	0.0000	0	0.8527
187	0.3569	1	0.3162
188	0.2308	1	0.0000
189	0.0000	0	0.1966
190	0.0000	0	0.5525
191	0.2079	1	0.8541
192	0.4937	1	0.8649
193	0.0922	1	0.8476
194	0.0000	0	0.0000
195	0.0000	0	0.0000
196	0.0000	0	0.0000
197	0.0000	0	0.0000
198	0.0000	0	0.5263
199	0.0000	0	0.4151
200	0.0000	0	0.5759
201	0.2219	1	0.6210
202	0.5386	1	0.1676
203	0.0970	1	0.0000
204	0.4481	1	0.5591
205	0.0000	0	0.5799
206	0.0624	1	0.1837
207	0.0000	0	0.0000
208	0.0000	0	0.0000
209	0.0000	0	0.0000
210	0.0000	0	0.0000
211	0.1345	1	0.3214
212	0.0000	0	0.3657
213	0.5023	1	0.6995
214	0.3510	1	0.7129
215	0.2843	1	0.7357
216	0.5222	1	0.6891
217	0.5480	1	0.8174
218	0.3296	1	0.7104
219	0.1904	1	0.7627
220	0.0000	0	0.0000
221	0.0000	0	0.0000
222	0.0000	0	0.0000
223	0.0000	0	0.0000
224	0.0000	0	0.0000
225	0.0000	0	0.0000
226	0.0000	0	0.0000
227	0.0000	0	0.0000
228	0.0000	0	0.0000
229	0.0000	0	0.0000
230	0.0000	0	0.0000
231	0.0000	0	0.0000
232	0.0000	0	0.0000
233	0.0000	0	0.0000
234	0.0000	0	0.0000
235	0.6076	2	0.5888
236	0.0586	1	0.2991
237	0.0000	0	0.1746
238	0.5886	1	0.8341
239	0.6846	1	0.7546
240	0.6581	1	0.6821
241	0.0000	0	0.0000
242	0.0000	0	0.0000
243	0.4097	1	0.3565
244	0.2821	1	0.8566
245	0.2566	1	0.8302
246	0.0833	1	0.0000
247	0.0000	0	0.0000
248	0.0000	0	0.0000
249	0.0000	0	0.0000
250	0.0000	0	0.8130
251	0.0000	0	0.6729
252	0.0000	0	0.0745
253	0.0000	0	0.5762
