t	shot_max_conf	shot_n	goal_max_conf
0	0.0000	0	0.0000
1	0.0000	0	0.0000
2	0.0000	0	0.0000
3	0.0000	0	0.0000
4	0.0000	0	0.0000
5	0.0000	0	0.0000
6	0.0000	0	0.0000
7	0.0000	0	0.0000
8	0.0000	0	0.0000
9	0.0000	0	0.0000
10	0.0000	0	0.0000
11	0.0000	0	0.0000
12	0.0000	0	0.0000
13	0.0000	0	0.0000
14	0.6584	1	0.8730
15	0.7903	1	0.9166
16	0.6456	1	0.9303
17	0.6191	1	0.9202
18	0.6654	1	0.8673
19	0.6488	1	0.8765
20	0.7588	1	0.9176
21	0.6789	1	0.8949
22	0.5657	1	0.9091
23	0.3832	1	0.9135
24	0.4653	1	0.9026
25	0.0681	1	0.3730
26	0.0000	0	0.0000
27	0.0000	0	0.0000
28	0.0000	0	0.0000
29	0.3697	1	0.8638
30	0.4934	1	0.8271
31	0.0000	0	0.8594
32	0.1017	1	0.8549
33	0.5412	2	0.7096
34	0.0000	0	0.0000
35	0.0000	0	0.0000
36	0.0000	0	0.0000
37	0.6760	1	0.8825
38	0.6971	1	0.9027
39	0.7537	1	0.9188
40	0.7589	1	0.9184
41	0.2250	1	0.9062
42	0.0000	0	0.9174
43	0.0000	0	0.9192
44	0.0000	0	0.8706
45	0.2450	1	0.8595
46	0.6521	2	0.8920
47	0.7734	2	0.9266
48	0.6131	1	0.9309
49	0.5853	1	0.9290
50	0.5991	1	0.9260
51	0.5563	1	0.9289
52	0.5496	1	0.9281
53	0.4839	1	0.9315
54	0.4703	1	0.9331
55	0.4734	1	0.9335
56	0.4097	1	0.9402
57	0.4317	1	0.9445
58	0.2912	1	0.9400
59	0.5713	1	0.9229
60	0.4700	1	0.9246
61	0.2550	1	0.8961
62	0.4512	1	0.9258
63	0.2701	1	0.9288
64	0.1740	1	0.9332
65	0.5206	1	0.8974
66	0.5285	1	0.8917
67	0.3236	1	0.9164
68	0.5430	1	0.9259
69	0.2724	1	0.7690
70	0.0000	0	0.0000
71	0.0000	0	0.0000
72	0.0000	0	0.0000
73	0.0000	0	0.0960
74	0.0000	0	0.8629
75	0.2416	1	0.7765
76	0.4477	1	0.8460
77	0.0000	0	0.8420
78	0.3013	1	0.8156
79	0.0000	0	0.8395
80	0.2748	1	0.8358
81	0.5522	1	0.8314
82	0.0000	0	0.8203
83	0.0000	0	0.8147
84	0.0000	0	0.8145
85	0.5185	1	0.8434
86	0.0546	1	0.8254
87	0.0000	0	0.7845
88	0.2253	1	0.8314
89	0.5852	1	0.8175
90	0.0000	0	0.8457
91	0.5637	1	0.8844
92	0.4162	1	0.8888
93	0.7795	1	0.8808
94	0.7027	1	0.8437
95	0.5274	1	0.8778
96	0.4978	1	0.7753
97	0.6628	1	0.9290
98	0.6567	1	0.9217
99	0.7624	1	0.9375
100	0.5151	1	0.9353
101	0.0000	0	0.7356
102	0.0000	0	0.0000
103	0.0000	0	0.0000
104	0.0000	0	0.0000
105	0.0000	0	0.0000
106	0.0000	0	0.0000
107	0.4768	1	0.9315
108	0.5075	1	0.9160
109	0.5025	1	0.8981
110	0.6357	1	0.9123
111	0.7642	1	0.9217
112	0.3631	1	0.8853
113	0.3817	1	0.8787
114	0.0000	0	0.7972
115	0.4470	1	0.6983
116	0.0575	1	0.8462
117	0.3980	1	0.8023
118	0.5877	1	0.8176
119	0.0000	0	0.8652
120	0.1785	1	0.8223
121	0.0000	0	0.8611
122	0.6512	1	0.8750
123	0.7310	1	0.8843
124	0.6610	1	0.9121
125	0.8669	1	0.9235
126	0.5705	1	0.8617
127	0.7631	1	0.8819
128	0.6825	1	0.8868
129	0.3723	1	0.9033
130	0.2431	1	0.8981
131	0.3499	1	0.8736
132	0.0000	0	0.8139
133	0.5982	1	0.8347
134	0.3404	1	0.8066
135	0.5552	1	0.8035
136	0.0000	0	0.8055
137	0.2585	1	0.8665
138	0.3653	1	0.8710
139	0.0000	0	0.0000
140	0.0000	0	0.0000
141	0.0000	0	0.0000
142	0.1038	1	0.7997
143	0.0556	1	0.8517
144	0.5320	1	0.8811
145	0.6021	2	0.8154
146	0.7326	1	0.8416
147	0.3840	1	0.8797
148	0.2175	1	0.8612
149	0.0871	1	0.8621
150	0.4465	1	0.8732
151	0.7086	1	0.8610
152	0.6821	1	0.8560
153	0.6135	1	0.8730
154	0.7289	1	0.8660
155	0.4493	1	0.8459
156	0.7671	1	0.9270
157	0.5443	1	0.9184
158	0.6344	1	0.9153
159	0.6726	1	0.9135
160	0.7223	1	0.9183
161	0.5938	1	0.9135
162	0.4910	1	0.9143
163	0.0000	0	0.0000
164	0.0000	0	0.0000
165	0.0000	0	0.0000
166	0.0000	0	0.0000
167	0.1067	1	0.8098
168	0.0000	0	0.8231
169	0.0708	1	0.8774
170	0.0000	0	0.8451
171	0.1679	1	0.8569
172	0.0000	0	0.8488
173	0.0000	0	0.8526
174	0.1336	1	0.9048
175	0.0000	0	0.8171
176	0.7438	1	0.8012
177	0.0000	0	0.0000
178	0.0000	0	0.0000
179	0.1706	1	0.8015
180	0.0977	1	0.8293
181	0.0000	0	0.8252
182	0.3880	1	0.7869
183	0.0000	0	0.8415
184	0.0000	0	0.6149
185	0.0000	0	0.8626
186	0.0000	0	0.8785
187	0.4805	1	0.8884
188	0.5090	1	0.8354
189	0.0000	0	0.7277
190	0.0000	0	0.7746
191	0.0000	0	0.8308
192	0.5278	1	0.8437
193	0.0806	1	0.8428
194	0.5937	1	0.7129
195	0.3764	1	0.8864
196	0.4223	1	0.8835
197	0.1404	1	0.9025
198	0.1580	1	0.8955
199	0.0671	1	0.9068
200	0.5603	1	0.8370
201	0.0000	0	0.8613
202	0.3861	1	0.8446
203	0.5534	1	0.8405
204	0.5791	2	0.7600
205	0.4970	1	0.6946
206	0.1580	1	0.6936
207	0.0000	0	0.8499
208	0.0670	1	0.5575
209	0.5534	1	0.7882
210	0.0000	0	0.7772
211	0.2829	1	0.8424
212	0.0000	0	0.7712
213	0.1891	1	0.8348
214	0.0000	0	0.7748
215	0.0819	1	0.8168
216	0.1086	1	0.7182
217	0.5888	1	0.8322
218	0.1509	1	0.7617
219	0.0000	0	0.7988
220	0.0000	0	0.8129
221	0.0000	0	0.7694
222	0.7836	1	0.8634
223	0.5153	1	0.8418
224	0.5141	1	0.7608
225	0.2838	1	0.8340
226	0.7132	1	0.8441
227	0.5986	1	0.7996
228	0.7787	1	0.9106
229	0.6743	1	0.8915
230	0.4332	1	0.9332
231	0.5856	1	0.9288
232	0.7323	1	0.8447
233	0.6473	1	0.8637
234	0.2346	1	0.8133
235	0.2260	1	0.7721
236	0.0000	0	0.8233
237	0.7315	2	0.8010
238	0.7622	1	0.8437
239	0.1665	1	0.6875
240	0.0000	0	0.8053
241	0.4167	1	0.8142
242	0.2172	1	0.7868
243	0.0814	1	0.8347
244	0.0682	1	0.9020
245	0.0000	0	0.0000
246	0.0000	0	0.0000
247	0.2928	1	0.8385
248	0.0000	0	0.8438
249	0.1400	1	0.7996
250	0.0000	0	0.8198
251	0.8039	1	0.8856
252	0.5535	1	0.8746
253	0.6750	1	0.8738
