t	shot_max_conf	shot_n	goal_max_conf
0	0.0000	0	0.0000
1	0.0000	0	0.0000
2	0.0000	0	0.0000
3	0.0000	0	0.0742
4	0.0000	0	0.0913
5	0.0526	1	0.1565
6	0.0000	0	0.0000
7	0.0000	0	0.0000
8	0.0000	0	0.0000
9	0.0000	0	0.0000
10	0.4760	1	0.7581
11	0.2980	1	0.6349
12	0.1990	1	0.4859
13	0.0000	0	0.5692
14	0.0000	0	0.0000
15	0.1694	1	0.2225
16	0.0000	0	0.0728
17	0.0931	1	0.1283
18	0.0000	0	0.0000
19	0.1224	1	0.1152
20	0.0557	1	0.2044
21	0.0000	0	0.0000
22	0.0936	2	0.5509
23	0.0000	0	0.0000
24	0.3129	1	0.5650
25	0.1376	2	0.5805
26	0.0000	0	0.1172
27	0.0000	0	0.1033
28	0.0000	0	0.0652
29	0.0000	0	0.0662
30	0.2434	1	0.6014
31	0.2245	2	0.5306
32	0.1375	1	0.5082
33	0.0000	0	0.0000
34	0.0000	0	0.0000
35	0.0000	0	0.0527
36	0.0000	0	0.8104
37	0.0963	1	0.7162
38	0.0000	0	0.6887
39	0.0000	0	0.0000
40	0.0000	0	0.0000
41	0.0000	0	0.0000
42	0.0000	0	0.2134
43	0.0000	0	0.3337
44	0.0000	0	0.1098
45	0.0000	0	0.3184
46	0.0000	0	0.0000
47	0.0000	0	0.0000
48	0.0000	0	0.0000
49	0.0000	0	0.0000
50	0.0000	0	0.3256
51	0.0915	1	0.7410
52	0.0000	0	0.0000
53	0.0000	0	0.0000
54	0.0000	0	0.0000
55	0.0000	0	0.0594
56	0.0000	0	0.0000
57	0.0000	0	0.0000
58	0.3496	1	0.3038
59	0.0000	0	0.0560
60	0.0000	0	0.0000
61	0.0000	0	0.2257
62	0.0000	0	0.3483
63	0.0687	1	0.5709
64	0.0891	1	0.5859
65	0.0000	0	0.4033
66	0.1226	1	0.5726
67	0.0000	0	0.1374
68	0.0000	0	0.0000
69	0.0000	0	0.0000
70	0.0000	0	0.0000
71	0.0000	0	0.0000
72	0.1396	1	0.1722
73	0.0000	0	0.0000
74	0.1050	1	0.0767
75	0.1299	1	0.0804
76	0.0000	0	0.0000
77	0.0000	0	0.0000
78	0.0607	1	0.4410
79	0.0000	0	0.0000
80	0.0900	1	0.0000
81	0.0000	0	0.0783
82	0.0000	0	0.0000
83	0.0772	1	0.0699
84	0.2302	2	0.7833
85	0.1425	1	0.3722
86	0.1719	1	0.0826
87	0.4271	1	0.6000
88	0.3597	1	0.5334
89	0.0000	0	0.0000
90	0.0000	0	0.0000
91	0.1236	1	0.3910
92	0.2842	1	0.4597
93	0.6002	2	0.6906
94	0.3540	2	0.4750
95	0.2814	3	0.1055
96	0.0000	0	0.0664
97	0.0000	0	0.1740
98	0.0000	0	0.0776
99	0.0000	0	0.2038
100	0.0000	0	0.0534
101	0.0000	0	0.1232
102	0.0000	0	0.0727
103	0.2987	1	0.3672
104	0.0527	1	0.0000
105	0.0854	1	0.2074
106	0.0658	1	0.1183
107	0.1333	2	0.2705
108	0.0000	0	0.2960
109	0.1907	4	0.6540
110	0.3161	3	0.5660
111	0.1671	2	0.2356
112	0.1155	2	0.0999
113	0.0000	0	0.0000
114	0.0000	0	0.0000
115	0.0000	0	0.2464
116	0.0000	0	0.0000
117	0.1678	1	0.3932
118	0.0000	0	0.0000
119	0.5655	1	0.7481
120	0.3414	1	0.6820
121	0.0000	0	0.0000
122	0.0000	0	0.0000
123	0.1603	1	0.3684
124	0.0000	0	0.0000
125	0.0000	0	0.0000
126	0.0000	0	0.0000
127	0.0000	0	0.0000
128	0.0000	0	0.0000
129	0.0000	0	0.0000
130	0.0000	0	0.0000
131	0.0000	0	0.0000
132	0.0000	0	0.0000
133	0.0000	0	0.0000
134	0.0000	0	0.0000
135	0.0000	0	0.0000
136	0.0000	0	0.0000
137	0.0000	0	0.0000
138	0.0000	0	0.0000
139	0.0000	0	0.0000
140	0.0000	0	0.0000
141	0.0000	0	0.0000
142	0.0000	0	0.0000
143	0.0000	0	0.0000
144	0.0000	0	0.0000
145	0.0000	0	0.0000
146	0.0000	0	0.0000
147	0.0000	0	0.0000
148	0.0000	0	0.0000
149	0.0000	0	0.0000
150	0.0000	0	0.0000
151	0.0000	0	0.0000
152	0.0000	0	0.0947
153	0.0000	0	0.0000
154	0.0000	0	0.0000
155	0.0000	0	0.0610
156	0.0000	0	0.0000
157	0.0000	0	0.0000
158	0.0000	0	0.0000
159	0.0000	0	0.0000
160	0.0000	0	0.0770
161	0.0000	0	0.0000
162	0.0000	0	0.0000
163	0.0000	0	0.0000
164	0.0000	0	0.0000
165	0.0000	0	0.0000
166	0.1672	1	0.2298
167	0.0000	0	0.0000
168	0.0000	0	0.0000
169	0.0000	0	0.0000
170	0.0546	1	0.2886
171	0.0000	0	0.0000
172	0.0905	2	0.3545
173	0.3467	2	0.5778
174	0.1716	1	0.6623
175	0.0000	0	0.0000
176	0.1918	2	0.5278
177	0.3301	2	0.3740
178	0.0693	1	0.1426
179	0.1365	2	0.3610
180	0.4000	2	0.7177
181	0.1705	1	0.2252
182	0.1514	1	0.2203
183	0.1997	1	0.2708
184	0.2389	1	0.3260
185	0.1327	1	0.2244
186	0.2188	4	0.3255
187	0.1109	1	0.3707
188	0.3363	3	0.6268
189	0.0000	0	0.0651
190	0.0000	0	0.0523
191	0.0000	0	0.0000
192	0.0000	0	0.2363
193	0.0000	0	0.0000
194	0.0000	0	0.0000
195	0.0978	1	0.1891
196	0.0000	0	0.1037
197	0.2439	1	0.1884
198	0.1308	2	0.2755
199	0.1222	1	0.1552
200	0.1716	1	0.1546
201	0.2485	1	0.1924
202	0.3368	1	0.4524
203	0.0775	3	0.0537
204	0.0838	1	0.0774
205	0.1222	1	0.0990
206	0.3217	1	0.2599
207	0.0543	1	0.1167
208	0.0928	1	0.0607
209	0.1974	1	0.2637
210	0.3028	1	0.3190
211	0.0520	1	0.0000
212	0.0000	0	0.0000
213	0.0000	0	0.0000
214	0.0000	0	0.0000
215	0.0722	1	0.0804
216	0.1170	1	0.1081
217	0.0000	0	0.0602
218	0.0000	0	0.0000
219	0.0000	0	0.0000
220	0.0000	0	0.0000
221	0.0000	0	0.0000
222	0.0000	0	0.0000
223	0.0000	0	0.0000
224	0.0000	0	0.0000
225	0.0000	0	0.0000
226	0.0000	0	0.0000
227	0.0000	0	0.0000
228	0.0000	0	0.0000
229	0.0000	0	0.0000
230	0.0554	1	0.0000
231	0.0000	0	0.0000
232	0.0000	0	0.0000
233	0.0000	0	0.0000
234	0.0000	0	0.0000
235	0.0000	0	0.1456
236	0.0000	0	0.0000
237	0.0000	0	0.0000
238	0.0000	0	0.0000
239	0.0000	0	0.0000
240	0.0000	0	0.1355
241	0.0000	0	0.0000
242	0.0758	1	0.6051
243	0.0000	0	0.0000
244	0.1158	1	0.2305
245	0.0000	0	0.1596
246	0.1728	1	0.6190
247	0.4113	1	0.7862
248	0.0000	0	0.0000
249	0.0000	0	0.0000
250	0.0000	0	0.0000
251	0.0000	0	0.0000
252	0.0000	0	0.4163
253	0.2388	1	0.3520
